variable,init_month,lead,correlation,nse,crpss,n
peakgate1_Sau,1,1,-0.232,0.232,0.232,31
peakgate1_Sau,1,2,-0.174,0.174,0.174,31
peakgate1_Sau,1,3,-0.019,0.019,0.019,30
peakgate1_Sau,1,4,-0.058,0.058,0.058,30
peakgate1_Sau,1,5,-0.124,0.124,0.124,30
peakgate1_Sau,1,6,-0.446,0.446,0.446,30
peakgate1_Sau,1,7,-0.182,0.182,0.182,30
peakgate1_Sau,2,1,-0.175,0.175,0.175,31
peakgate1_Sau,2,2,0.024,-0.024,-0.024,30
peakgate1_Sau,2,3,-0.066,0.066,0.066,30
peakgate1_Sau,2,4,-0.217,0.217,0.217,30
peakgate1_Sau,2,5,-0.537,0.537,0.537,30
peakgate1_Sau,2,6,-0.16,0.16,0.16,30
peakgate1_Sau,2,7,-0.081,0.081,0.081,30
peakgate1_Sau,3,1,0.081,-0.081,-0.081,30
peakgate1_Sau,3,2,-0.034,0.034,0.034,30
peakgate1_Sau,3,3,-0.169,0.169,0.169,30
peakgate1_Sau,3,4,-0.456,0.456,0.456,30
peakgate1_Sau,3,5,-0.206,0.206,0.206,30
peakgate1_Sau,3,6,-0.041,0.041,0.041,30
peakgate1_Sau,3,7,-0.193,0.193,0.193,30
peakgate1_Sau,4,1,-0.194,0.194,0.194,30
peakgate1_Sau,4,2,-0.176,0.176,0.176,30
peakgate1_Sau,4,3,-0.47,0.47,0.47,30
peakgate1_Sau,4,4,-0.238,0.238,0.238,30
peakgate1_Sau,4,5,-0.078,0.078,0.078,30
peakgate1_Sau,4,6,-0.144,0.144,0.144,30
peakgate1_Sau,4,7,-0.452,0.452,0.452,30
peakgate1_Sau,5,1,-0.155,0.155,0.155,30
peakgate1_Sau,5,2,-0.398,0.398,0.398,30
peakgate1_Sau,5,3,-0.26,0.26,0.26,30
peakgate1_Sau,5,4,-0.108,0.108,0.108,30
peakgate1_Sau,5,5,-0.088,0.088,0.088,30
peakgate1_Sau,5,6,-0.564,0.564,0.564,30
peakgate1_Sau,5,7,-0.52,0.52,0.52,30
peakgate1_Sau,6,1,-0.23,0.23,0.23,30
peakgate1_Sau,6,2,-0.134,0.134,0.134,30
peakgate1_Sau,6,3,-0.083,0.083,0.083,30
peakgate1_Sau,6,4,-0.199,0.199,0.199,30
peakgate1_Sau,6,5,-0.519,0.519,0.519,30
peakgate1_Sau,6,6,-0.586,0.586,0.586,30
peakgate1_Sau,6,7,-0.627,0.627,0.627,30
peakgate1_Sau,7,1,-0.16,0.16,0.16,30
peakgate1_Sau,7,2,-0.148,0.148,0.148,30
peakgate1_Sau,7,3,-0.23,0.23,0.23,30
peakgate1_Sau,7,4,-0.392,0.392,0.392,30
peakgate1_Sau,7,5,-0.628,0.628,0.628,30
peakgate1_Sau,7,6,-0.753,0.753,0.753,30
peakgate1_Sau,7,7,-0.201,0.201,0.201,30
peakgate1_Sau,8,1,-0.072,0.072,0.072,30
peakgate1_Sau,8,2,-0.199,0.199,0.199,30
peakgate1_Sau,8,3,-0.287,0.287,0.287,30
peakgate1_Sau,8,4,-0.631,0.631,0.631,30
peakgate1_Sau,8,5,-0.624,0.624,0.624,30
peakgate1_Sau,8,6,-0.319,0.319,0.319,30
peakgate1_Sau,8,7,0.098,-0.098,-0.098,30
peakgate1_Sau,9,1,-0.191,0.191,0.191,30
peakgate1_Sau,9,2,-0.266,0.266,0.266,30
peakgate1_Sau,9,3,-0.496,0.496,0.496,30
peakgate1_Sau,9,4,-0.703,0.703,0.703,30
peakgate1_Sau,9,5,-0.266,0.266,0.266,30
peakgate1_Sau,9,6,-0.063,0.063,0.063,30
peakgate1_Sau,9,7,0.221,-0.221,-0.221,29
peakgate1_Sau,10,1,-0.337,0.337,0.337,30
peakgate1_Sau,10,2,-0.687,0.687,0.687,30
peakgate1_Sau,10,3,-0.757,0.757,0.757,30
peakgate1_Sau,10,4,-0.26,0.26,0.26,30
peakgate1_Sau,10,5,-0.122,0.122,0.122,30
peakgate1_Sau,10,6,0.09,-0.09,-0.09,29
peakgate1_Sau,10,7,0.073,-0.073,-0.073,29
peakgate1_Sau,11,1,-0.527,0.527,0.527,30
peakgate1_Sau,11,2,-0.757,0.757,0.757,30
peakgate1_Sau,11,3,-0.223,0.223,0.223,30
peakgate1_Sau,11,4,0.131,-0.131,-0.131,30
peakgate1_Sau,11,5,0.121,-0.121,-0.121,29
peakgate1_Sau,11,6,0.035,-0.035,-0.035,29
peakgate1_Sau,11,7,-0.132,0.132,0.132,29
peakgate1_Sau,12,1,-0.757,0.757,0.757,30
peakgate1_Sau,12,2,-0.075,0.075,0.075,30
peakgate1_Sau,12,3,0.036,-0.036,-0.036,30
peakgate1_Sau,12,4,0.094,-0.094,-0.094,29
peakgate1_Sau,12,5,-0.04,0.04,0.04,29
peakgate1_Sau,12,6,-0.115,0.115,0.115,29
peakgate1_Sau,12,7,-0.486,0.486,0.486,29
peakgate2_Sau,1,1,-0.089,0.089,0.089,31
peakgate2_Sau,1,2,-0.068,0.068,0.068,31
peakgate2_Sau,1,3,-0.182,0.182,0.182,30
peakgate2_Sau,1,4,0.377,-0.377,-0.377,30
peakgate2_Sau,1,5,-0.24,0.24,0.24,30
peakgate2_Sau,1,6,-0.101,0.101,0.101,30
peakgate2_Sau,1,7,-0.039,0.039,0.039,30
peakgate2_Sau,2,1,-0.072,0.072,0.072,31
peakgate2_Sau,2,2,-0.222,0.222,0.222,30
peakgate2_Sau,2,3,0.271,-0.271,-0.271,30
peakgate2_Sau,2,4,-0.286,0.286,0.286,30
peakgate2_Sau,2,5,-0.25,0.25,0.25,30
peakgate2_Sau,2,6,-0.084,0.084,0.084,30
peakgate2_Sau,2,7,-0.285,0.285,0.285,30
peakgate2_Sau,3,1,-0.096,0.096,0.096,30
peakgate2_Sau,3,2,0.38,-0.38,-0.38,30
peakgate2_Sau,3,3,-0.265,0.265,0.265,30
peakgate2_Sau,3,4,-0.149,0.149,0.149,30
peakgate2_Sau,3,5,-0.09,0.09,0.09,30
peakgate2_Sau,3,6,-0.227,0.227,0.227,30
peakgate2_Sau,3,7,0.058,-0.058,-0.058,30
peakgate2_Sau,4,1,0.169,-0.169,-0.169,30
peakgate2_Sau,4,2,-0.234,0.234,0.234,30
peakgate2_Sau,4,3,-0.235,0.235,0.235,30
peakgate2_Sau,4,4,-0.107,0.107,0.107,30
peakgate2_Sau,4,5,-0.363,0.363,0.363,30
peakgate2_Sau,4,6,-0.046,0.046,0.046,30
peakgate2_Sau,4,7,0.128,-0.128,-0.128,30
peakgate2_Sau,5,1,-0.401,0.401,0.401,30
peakgate2_Sau,5,2,-0.178,0.178,0.178,30
peakgate2_Sau,5,3,-0.173,0.173,0.173,30
peakgate2_Sau,5,4,-0.279,0.279,0.279,30
peakgate2_Sau,5,5,-0.208,0.208,0.208,30
peakgate2_Sau,5,6,-0.043,0.043,0.043,30
peakgate2_Sau,5,7,0.003,-0.003,-0.003,30
peakgate2_Sau,6,1,-0.165,0.165,0.165,30
peakgate2_Sau,6,2,-0.168,0.168,0.168,30
peakgate2_Sau,6,3,-0.318,0.318,0.318,30
peakgate2_Sau,6,4,-0.263,0.263,0.263,30
peakgate2_Sau,6,5,0.009,-0.009,-0.009,30
peakgate2_Sau,6,6,-0.16,0.16,0.16,30
peakgate2_Sau,6,7,-0.405,0.405,0.405,30
peakgate2_Sau,7,1,-0.251,0.251,0.251,30
peakgate2_Sau,7,2,-0.11,0.11,0.11,30
peakgate2_Sau,7,3,-0.167,0.167,0.167,30
peakgate2_Sau,7,4,-0.175,0.175,0.175,30
peakgate2_Sau,7,5,-0.047,0.047,0.047,30
peakgate2_Sau,7,6,-0.424,0.424,0.424,30
peakgate2_Sau,7,7,-0.204,0.204,0.204,30
peakgate2_Sau,8,1,-0.135,0.135,0.135,30
peakgate2_Sau,8,2,-0.136,0.136,0.136,30
peakgate2_Sau,8,3,-0.273,0.273,0.273,30
peakgate2_Sau,8,4,-0.164,0.164,0.164,30
peakgate2_Sau,8,5,-0.527,0.527,0.527,30
peakgate2_Sau,8,6,-0.117,0.117,0.117,30
peakgate2_Sau,8,7,-0.068,0.068,0.068,30
peakgate2_Sau,9,1,-0.138,0.138,0.138,30
peakgate2_Sau,9,2,-0.012,0.012,0.012,30
peakgate2_Sau,9,3,-0.164,0.164,0.164,30
peakgate2_Sau,9,4,-0.527,0.527,0.527,30
peakgate2_Sau,9,5,-0.162,0.162,0.162,30
peakgate2_Sau,9,6,-0.201,0.201,0.201,30
peakgate2_Sau,9,7,-0.176,0.176,0.176,29
peakgate2_Sau,10,1,0.197,-0.197,-0.197,30
peakgate2_Sau,10,2,-0.324,0.324,0.324,30
peakgate2_Sau,10,3,-0.386,0.386,0.386,30
peakgate2_Sau,10,4,-0.015,0.015,0.015,30
peakgate2_Sau,10,5,-0.197,0.197,0.197,30
peakgate2_Sau,10,6,-0.45,0.45,0.45,29
