variable,init_month,lead,nse,crpss,n
agegate1_Sau,1,1,0.598,0.22,24
agegate1_Sau,1,2,0.626,0.254,24
agegate1_Sau,1,3,0.473,0.131,24
agegate1_Sau,1,4,-0.128,-0.147,23
agegate1_Sau,1,5,-0.63,-0.362,23
agegate1_Sau,1,6,-0.305,-0.242,23
agegate1_Sau,1,7,-0.208,-0.141,23
agegate1_Sau,2,1,0.675,0.308,24
agegate1_Sau,2,2,0.583,0.237,24
agegate1_Sau,2,3,0.183,0.051,23
agegate1_Sau,2,4,-0.205,-0.159,23
agegate1_Sau,2,5,0.002,-0.095,23
agegate1_Sau,2,6,0.074,-0.024,23
agegate1_Sau,2,7,0.037,-0.013,23
agegate1_Sau,3,1,0.551,0.196,24
agegate1_Sau,3,2,0.118,-0.01,23
agegate1_Sau,3,3,-0.35,-0.273,23
agegate1_Sau,3,4,-0.067,-0.148,23
agegate1_Sau,3,5,0.027,-0.051,23
agegate1_Sau,3,6,0.032,-0.024,23
agegate1_Sau,3,7,-0.203,-0.21,23
agegate1_Sau,4,1,-0.059,-0.24,23
agegate1_Sau,4,2,-0.54,-0.491,23
agegate1_Sau,4,3,-0.241,-0.306,23
agegate1_Sau,4,4,-0.137,-0.214,23
agegate1_Sau,4,5,-0.11,-0.186,23
agegate1_Sau,4,6,-0.393,-0.354,23
agegate1_Sau,4,7,0.017,-0.169,23
agegate1_Sau,5,1,0.049,-0.223,23
agegate1_Sau,5,2,0.181,-0.034,23
agegate1_Sau,5,3,0.226,0.051,23
agegate1_Sau,5,4,0.237,0.091,23
agegate1_Sau,5,5,-0.002,-0.101,23
agegate1_Sau,5,6,0.282,0.059,23
agegate1_Sau,5,7,0.645,0.408,23
agegate1_Sau,6,1,0.426,0.115,23
agegate1_Sau,6,2,0.462,0.194,23
agegate1_Sau,6,3,0.482,0.237,23
agegate1_Sau,6,4,0.358,0.124,23
agegate1_Sau,6,5,0.495,0.201,23
agegate1_Sau,6,6,0.76,0.516,23
agegate1_Sau,6,7,0.772,0.561,23
agegate1_Sau,7,1,0.077,-0.07,23
agegate1_Sau,7,2,0.052,-0.098,23
agegate1_Sau,7,3,-0.188,-0.266,23
agegate1_Sau,7,4,0.183,-0.083,23
agegate1_Sau,7,5,0.562,0.321,23
agegate1_Sau,7,6,0.618,0.4,23
agegate1_Sau,7,7,0.628,0.438,23
agegate1_Sau,8,1,0.308,0.049,23
agegate1_Sau,8,2,0.122,-0.054,23
agegate1_Sau,8,3,0.375,0.069,23
agegate1_Sau,8,4,0.651,0.397,23
agegate1_Sau,8,5,0.688,0.495,23
agegate1_Sau,8,6,0.695,0.511,23
agegate1_Sau,8,7,0.724,0.507,23
agegate1_Sau,9,1,0.11,-0.069,23
agegate1_Sau,9,2,0.309,0.078,23
agegate1_Sau,9,3,0.641,0.396,23
agegate1_Sau,9,4,0.666,0.451,23
agegate1_Sau,9,5,0.675,0.47,23
agegate1_Sau,9,6,0.7,0.479,23
agegate1_Sau,9,7,0.596,0.387,23
agegate1_Sau,10,1,0.288,0.006,23
agegate1_Sau,10,2,0.685,0.409,23
agegate1_Sau,10,3,0.695,0.435,23
agegate1_Sau,10,4,0.685,0.452,23
agegate1_Sau,10,5,0.709,0.46,23
agegate1_Sau,10,6,0.639,0.383,23
agegate1_Sau,10,7,0.44,0.259,22
agegate1_Sau,11,1,0.452,0.15,23
agegate1_Sau,11,2,0.498,0.236,23
agegate1_Sau,11,3,0.482,0.224,23
agegate1_Sau,11,4,0.565,0.283,23
agegate1_Sau,11,5,0.443,0.18,23
agegate1_Sau,11,6,0.052,-0.045,22
agegate1_Sau,11,7,-0.6,-0.305,22
